Company,Exchange,Ticker,Industry,Year Founded,Locations,Number of Employees,S&P Credit Rating (FC LT),S&P Credit Rating (LC LT),Type,NOSH,Price ($USD),Total Enterprise Value ($USDmm),Total Revenue ($USDmm),Gross Profit ($USDmm),EBITDA ($USDmm),EBIT ($USDmm),Net Income ($USDmm),Cash And Equivalents ($USDmm),"Net Property, Plant & Equipment ($USDmm)",Total Assets ($USDmm),Total Debt ($USDmm),Total Equity ($USDmm),Basic EPS ($USD),EPS - Capital IQ ($USD),EPS - # of Estimates Y+1,EBITDA Estimate ($USDmm),EBITDA - # of Estimates Y+1,EBIT Estimate ($USDmm),EBIT - # of Estimates Y+1,Market Cap ($USDmm),TEV/Revenue,TEV/EBITDA,TEV/EBIT,P/E
Crown Castle Inc. ,NYSE,CCI,Real Estate,1994,US/CA,5000,BBB-,BBB-,Public Investment Firm,433.0,177.42,104195.8,6340.0,4688.0,3916.0,2295.0,1545.0,292.0,21951.0,39040.0,27009.0,8258.0,3.57,3.87,14,4349.5,15,2457.97,10,76822.86,16.43466876971609,26.60771195097038,45.401220043572984,49.69747899159664
The Estée Lauder Companies Inc. ,NYSE,EL,Consumer Staples,1946,US/CA,48825,A+,A+,Public Company,356.9,277.32,103597.5,17737.0,13432.0,4273.0,3546.0,2390.0,3957.0,4599.0,20910.0,7760.0,6432.0,6.64,7.61,25,4485.2,17,3698.74,21,98975.50799999999,5.840756610475277,24.244675871752868,29.215313028764804,41.765060240963855
"HCA Healthcare, Inc. ",NYSE,HCA,Health Care,1968,US/CA,244000,BBB-,BBB-,Public Company,287.0,213.56,103561.0,58752.0,22782.0,12270.0,9356.0,6511.0,1451.0,26176.0,50742.0,36734.0,1489.0,21.3,18.2,19,12277.2,18,9225.43,15,61291.72,1.762680419389978,8.440179299103505,11.068939717828131,10.026291079812207
Enel SpA ,BIT,ENEL,Utilities,1962,EU,67117,BBB+,BBB+,Public Company,10159.4,4.93,102235.7,95648.8,18910.7,14007.9,7687.6,3244.8,10073.9,96181.1,235346.3,82496.3,48154.2,0.316,0.5770000000000001,19,19781.6,20,12208.11,15,50085.842,1.068865474527647,7.298431599311817,13.2987798532702,15.601265822784809
Glencore plc ,LSE,GLEN,Materials,1974,EU,135000,BBB+,BBB+,Public Company,13031.1,5.97,102158.4,203751.0,23316.0,26654.0,20615.0,15782.0,3241.0,43159.0,127510.0,34741.0,36917.0,1.2,1.27,13,28821.5,11,21618.1,8,77795.667,0.5013884594431438,3.8327605612666016,4.9555372301722045,4.975
Energy Transfer LP ,NYSE,ET,Energy,1996,US/CA,12558,BBB-,BBB-,Public Company,3087.0,12.36,101475.0,67417.0,12403.0,11392.0,7395.0,4147.0,336.0,82445.0,105963.0,50566.0,40128.0,1.28,1.66,10,12673.5,13,7639.96,4,38155.32,1.5051841523651304,8.907566713483146,13.72210953346856,9.65625
Occidental Petroleum Corporation ,NYSE,OXY,Energy,1920,US/CA,11678,BB+,BB+,Public Company,929.0,74.48,101026.2,25956.0,22492.0,18882.0,11481.0,10996.0,2764.0,60656.0,75036.0,31139.0,20327.0,10.8,9.85,27,21260.8,13,14028.76,7,69191.92,3.8922098936662044,5.35039720368605,8.799425137183173,6.896296296296296
National Grid plc ,LSE,NG.,Utilities,1990,EU,29292,BBB+,BBB+,Public Company,3660.1,13.42,100099.7,24251.4,24251.4,7367.8,5527.5,3093.0,268.2,75626.4,124694.4,61066.9,31358.9,0.86,0.775,13,7426.7,13,5068.05,13,49118.542,4.127584386880757,13.586104400228018,18.10939846223428,15.604651162790697
"Gilead Sciences, Inc. ",NasdaqGS,GILD,Health Care,1987,US/CA,14400,BBB+,BBB+,Public Company,1253.4,63.59,98419.6,27305.0,21874.0,13213.0,11105.0,4137.0,5338.0,5663.0,67952.0,27285.0,21064.0,3.3,6.21,26,12732.4,7,10676.08,19,79703.706,3.6044533968137706,7.448694467569818,8.862638451148133,19.269696969696973
Hyundai Motor Company ,KOSE,A005380,Consumer Discretionary,1967,APAC,70388,BBB+,BBB+,Public Company,220.7,144.93,98351.6,98736.2,18783.4,9937.7,6209.4,4817.5,10742.1,52731.7,196402.2,91293.1,69357.4,19.3,23.8,24,10810.0,24,6804.0,26,31986.051,0.9961047721099253,9.896817170975176,15.839147099558735,7.5093264248704665
